timestamp_ps,link,node,qber,key_rate_sifted,key_rate_final,detection_count,error_count,dark_count_rate,detector_efficiency,back_reflection_power,phase_error_rate,label,fault_id,fault_name,qber_delta,qber_ma5,qber_var5,key_rate_drop,dark_count_delta,back_reflection_alert,qber_alert
530000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
540000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
550000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
560000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
570000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
580000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
590000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
600000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
610000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
620000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
630000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
640000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
650000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
660000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
670000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
680000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
690000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
700000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
710000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
720000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
730000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,blinding,4,blinding,0.0,0.0,0.0,0.0,0.0,0,0
